id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,en,English,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.,en,English,2
3931fbe82a,Little things like that make a huge difference in what I'm trying to do.,I was trying to accomplish something.,fr,French,0
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,en,English,0
86aaa48b45,"In role play as well. Opportunities to express yourself and play multiple roles may help children capture similarities and differences between people in their desires, beliefs and feelings.",Children can see how different ethnicities are.,th,Thai,1
ed7d6a1e62,"You might hear someone on a farm say we have to butcher these oxen in the corral, which probably means, separate the ones to be loaded.","On the farm, people use different terms.",tr,Turkish,0
5a0f4908a0,"Upon his return to the United States, Hajj was met at the airport by FBI agents, interrogated, and the next day before a federal grand jury indicted Osama bin Laden.",Hague was investigated by FBI agents,ur,Urdu,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,en,English,1
8c10229663,"Every hundred degrees, the spots of paint change their color, it can be red and change color to blue.",The paint changes according to the color.,ru,Russian,0
a1971593d5,"We may not have had everything we wanted or saw other people have, but she provided the essentials we needed.",We had everything we really needed.,bg,Bulgarian,0
2bf4b86d4f,Twenty percent interest is charged,Could the interest be more than 20?,de,German,1
91b03f6bf4,"If possible, familiarize yourself with the plot in advance.","Try to understand the plot first, if you can.",ar,Arabic,0
4c25aa4c06,I hope your lords will at last begin to realize the folly of granting such a man a Council of Kings against all my advice.,Your Excellency has just taken my advice and acted accordingly.,zh,Chinese,2
82f24422eb,Mjodi claims he went home to Morocco to get married but could not make it there due to injuries sustained in a car accident.,Mazoudi claimed that he went along with the plan as planned.,hi,Hindi,2
6d63ae6397,Children would knock on their neighbors' doors and,Children could go to their neighbors house.,sw,Swahili,0
dd4f0d9f25,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. ",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,en,English,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,en,English,1
cad235551c,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,en,English,2
d8b3a4fb06,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",en,English,0
a7b0b9498c,"It's just the beginning!""",A great journey is about to begin!,en,English,1
1ec4761d9d,"I assure you, sir, that I was fully aware of everything.",Many details were hidden from me.,ru,Russian,2
